编号[ID]	法克
ID	Fuck
1	毛泽东
2	周恩来
3	刘少奇
4	朱德
5	彭德怀
6	林彪
7	刘伯承
8	陈毅
9	贺龙
10	聂荣臻
11	徐向前
12	罗荣桓
13	叶剑英
14	李大钊
15	陈独秀
16	孙中山
17	孙文
18	孙逸仙
19	邓小平
20	陈云
21	江泽民
22	李鹏
23	朱镕基
24	李瑞环
25	尉健行
26	李岚清
27	胡锦涛
28	罗干
29	温家宝
30	吴邦国
31	曾庆红
32	贾庆林
33	黄菊
34	吴官正
35	李长春
36	吴仪
37	回良玉
38	曾培炎
39	周永康
40	曹刚川
41	唐家璇
42	华建敏
43	陈至立
44	陈良宇
45	张德江
46	张立昌
47	俞正声
48	王乐泉
49	刘云山
50	王刚
51	王兆国
52	刘淇
53	贺国强
54	郭伯雄
55	胡耀邦
56	李登辉
57	连战
58	陈水扁
59	宋楚瑜
60	吕秀莲
61	郁慕明
62	蒋介石
63	蒋中正
64	蒋经国
65	马英九
66	吴帮国
67	无帮国
68	无邦国
69	无帮过
70	瘟家宝
71	假庆林
72	甲庆林
73	假青林
74	离长春
75	习远平
76	袭近平
77	李磕墙
78	贺过墙
79	和锅枪
80	粥永康
81	轴永康
82	肘永康
83	周健康
84	粥健康
85	周小康
86	姜异康
87	孙政才
88	令计划
89	陆 昊
90	范长龙
91	许其亮
92	习近平
93	马凯
94	王岐山
95	王沪宁
96	刘延东
97	刘奇葆
98	孙春兰
99	李克强
100	李建国
101	李源潮
102	汪洋
103	张春贤
104	张高丽
105	孟建柱
106	赵乐际
107	胡春华
108	栗战书
109	郭金龙
110	韩正
111	杜青林
112	赵洪祝
113	杨晶
114	于广洲
115	马飚
116	马兴瑞
117	马晓天
118	王君
119	王侠
120	王珉
121	王勇
122	王晨
123	王毅
124	王三运
125	王万宾
126	王玉普
127	王正伟
128	王东明
129	王光亚
130	王伟光
131	王安顺
132	王志刚
133	王国生
134	王学军
135	王建平
136	王胜俊
137	王洪尧
138	王宪魁
139	王冠中
140	王家瑞
141	王教成
142	王新宪
143	王儒林
144	支树平
145	尤权
146	车俊
147	尹蔚民
148	巴音朝鲁
149	巴特尔
150	卢展工
151	叶小文
152	田中
153	田修思
154	白玛赤林
155	白春礼
156	吉炳轩
157	朱小丹
158	朱福熙
159	全哲洙
160	刘鹏
161	刘源
162	刘鹤
163	刘亚洲
164	刘成军
165	刘伟平
166	刘晓江
167	刘家义
168	刘粤军
169	刘福连
170	许达哲
171	许耀元
172	孙怀山
173	孙建国
174	孙思敬
175	苏树林
176	杜金才
177	杜恒岩
178	李伟
179	李斌
180	李从军
181	李东生
182	李立国
183	李纪恒
184	李学勇
185	李建华
186	李鸿忠
187	杨传堂
188	杨金山
189	杨栋梁
190	杨洁篪
191	杨焕宁
192	肖钢
193	肖捷
194	吴昌德
195	吴胜利
196	吴爱英
197	吴新雄
198	何毅亭
199	冷溶
200	汪永清
201	沈跃跃
202	沈德咏
203	宋大涵
204	宋秀岩
205	张阳
206	张茅
207	张毅
208	张又侠
209	张仕波
210	张庆伟
211	张庆黎
212	张志军
213	张国清
214	张宝顺
215	张海阳
216	张裔炯
217	陆昊
218	陈希
219	陈雷
220	陈全国
221	陈求发
222	陈宝生
223	陈政高
224	陈敏尔
225	努尔·白克力
226	苗圩
227	林军
228	林左鸣
229	尚福林
230	罗志军
231	罗保铭
232	周济
233	周强
234	周本顺
235	周生贤
236	郑卫平
237	房峰辉
238	孟学农
239	项俊波
240	赵实
241	赵正永
242	赵克石
243	赵克志
244	赵宗岐
245	胡泽君
246	姜大明
247	骆惠宁
248	秦光荣
249	袁纯清
250	袁贵仁
251	耿惠昌
252	聂卫国
253	贾廷安
254	夏宝龙
255	铁凝
256	徐守盛
257	徐绍史
258	徐粉林
259	高虎城
260	郭声琨
261	郭庚茂
262	郭树清
263	黄兴国
264	黄奇帆
265	黄树贤
266	曹建明
267	戚建国
268	常万全
269	鹿心社
270	彭勇
271	彭清华
272	蒋定之
273	蒋建国
274	蒋洁敏
275	韩长赋
276	焦焕成
277	谢伏瞻
278	强卫
279	楼继伟
280	解振华
